GP_name,quali_pos,constructor,driver,driver_confidence,constructor_relaiblity,season
29,1,12,36,0.9457364341085271,0.8916827852998066,2024
29,2,12,36,0.9457364341085271,0.8916827852998066,2024
29,3,12,36,0.9457364341085271,0.8916827852998066,2024
29,4,12,36,0.9457364341085271,0.8916827852998066,2024
29,5,12,36,0.9457364341085271,0.8916827852998066,2024
29,6,12,36,0.9457364341085271,0.8916827852998066,2024
29,7,12,36,0.9457364341085271,0.8916827852998066,2024
29,8,12,36,0.9457364341085271,0.8916827852998066,2024
29,9,12,36,0.9457364341085271,0.8916827852998066,2024
29,10,12,36,0.9457364341085271,0.8916827852998066,2024
29,11,12,36,0.9457364341085271,0.8916827852998066,2024
29,12,12,36,0.9457364341085271,0.8916827852998066,2024
29,13,12,36,0.9457364341085271,0.8916827852998066,2024
29,14,12,36,0.9457364341085271,0.8916827852998066,2024
29,15,12,36,0.9457364341085271,0.8916827852998066,2024
29,16,12,36,0.9457364341085271,0.8916827852998066,2024
29,17,12,36,0.9457364341085271,0.8916827852998066,2024
29,18,12,36,0.9457364341085271,0.8916827852998066,2024
29,19,12,36,0.9457364341085271,0.8916827852998066,2024
29,20,12,36,0.9457364341085271,0.8916827852998066,2024
29,21,12,36,0.9457364341085271,0.8916827852998066,2024
29,22,12,36,0.9457364341085271,0.8916827852998066,2024
